,0,columna_limpia
7217,cuts,cuts
7218,target,target
7219,price,price
7220,to,
7221,from,
7222,nisource,nisource
7223,inc,inc
7224,ni.n,ni.n
7225,bmo,bmo
7226,cuts,cuts
7227,target,target
7228,price,price
7229,to,
7230,from,
7231,nuvasive,nuvasive
7232,inc,inc
7233,nuva.o,nuva.o
7234,truist,truist
7235,securities,securities
7236,cuts,cuts
7237,target,target
7238,price,price
7239,to,
7240,from,
7241,nuvei,nuvei
7242,corp,corp
7243,nvei.o,nvei.o
7244,cibc,cibc
7245,cuts,cuts
7246,target,target
7247,price,price
7248,to,
7249,from,
7250,nvidia,nvidia
7251,corp,corp
7252,nvda.o,nvda.o
7253,deutsche,deutsche
7254,bank,bank
7255,cuts,cuts
7256,target,target
7257,price,price
7258,to,
7259,from,
7260,occidental,occidental
7261,petroleum,petroleum
7262,oxy.n,oxy.n
7263,mkm,mkm
7264,partners,partners
7265,assumes,assumes
7266,with,
7267,neutral,neutral
7268,rating,rating
7269,fair,fair
7270,value,value
7271,omnicom,omnicom
7272,group,group
7273,inc,inc
7274,omc.n,omc.n
7275,jp,jp
7276,morgan,morgan
7277,raises,raises
7278,target,target
7279,price,price
7280,to,
7281,from,
7282,omnicom,omnicom
7283,group,group
7284,inc,inc
7285,omc.n,omc.n
7286,wells,wells
7287,fargo,fargo
7288,raises,raises
7289,target,target
7290,price,price
7291,to,
7292,from,
7293,oneok,oneok
7294,inc,inc
7295,oke.n,oke.n
7296,barclays,barclays
7297,cuts,cuts
7298,target,target
7299,price,price
7300,to,
7301,from,
7302,oneok,oneok
7303,inc,inc
7304,oke.n,oke.n
7305,morgan,morgan
7306,stanley,stanley
7307,cuts,cuts
7308,target,target
7309,price,price
7310,to,
7311,from,
7312,oneok,oneok
7313,inc,inc
7314,oke.n,oke.n
7315,raymond,raymond
7316,james,james
7317,cuts,cuts
7318,target,target
7319,price,price
7320,to,
7321,from,
7322,onsemi,onsemi
7323,on.o,on.o
7324,deutsche,deutsche
7325,bank,bank
7326,cuts,cuts
7327,target,target
7328,price,price
7329,to,
7330,from,
7331,oracle,oracle
7332,corp,corp
7333,orcl.n,orcl.n
7334,morgan,morgan
7335,stanley,stanley
7336,raises,raises
7337,target,target
7338,price,price
7339,to,
7340,from,
7341,ormat,ormat
7342,technologies,technologies
7343,inc,inc
7344,ora.n,ora.n
7345,jp,jp
7346,morgan,morgan
7347,raises,raises
7348,target,target
7349,price,price
7350,to,
7351,from,
7352,orrstown,orrstown
7353,financial,financial
7354,services,services
7355,inc,inc
7356,orrf.o,orrf.o
7357,hovde,hovde
7358,group,group
7359,raises,raises
7360,pt,pt
7361,to,
7362,from,
7363,orthopediatrics,orthopediatrics
7364,corp,corp
7365,kids.o,kids.o
7366,truist,truist
7367,securities,securities
7368,cuts,cuts
7369,target,target
7370,price,price
7371,to,
7372,from,
